species,speccode
Agonus cataphractus,127190
Alosa alosa,126413
Alosa fallax,126415
Amblyraja radiata,105865
Ammodytes marinus,126751
Ammodytidae,125516
Anarhichas lupus,126758
Argentina silus,126715
Argentina sphyraena,126716
Arnoglossus,126109
Arnoglossus laterna,127126
Brosme brosme,126447
Buglossidium,126127
Buglossidium luteum,127153
Callionymidae,125522
Callionymus lyra,126792
Callionymus maculatus,126793
Callionymus reticulatus,126795
Capros aper,127419
Chelidonichthys cuculus,127259
Chelidonichthys lucerna,127262
Chimaera monstrosa,105824
Ciliata mustela,126448
Clupea harengus,126417
Cyclopterus lumpus,127214
Dicentrarchus labrax,126975
Diplecogaster bimaculata,236458
Dipturus batis,105869
Echiichthys vipera,150630
Enchelyopus cimbrius,126450
Engraulis encrasicolus,126426
Etmopterus spinax,105913
Eutrigla gurnardus,150637
Gadiculus argenteus,126435
Gadus morhua,126436
Gaidropsarus mediterraneus,126457
Gaidropsarus vulgaris,126458
Gasterosteus aculeatus,236462
Glyptocephalus cynoglossus,127136
Gobiidae,125537
Gobius,125988
Gymnammodytes semisquamatus,126754
Helicolenus dactylopterus,127251
Hippoglossoides platessoides,127137
Hippoglossus hippoglossus,127138
Hyperoplus lanceolatus,126756
Lampetra fluviatilis,101172
Lepidorhombus whiffiagonis,127146
Leucoraja naevus,105876
Limanda limanda,127139
Liparis liparis,293624
Liparis montagui,127220
Lophius piscatorius,126555
Lumpenus lampretaeformis,154675
Lycenchelys sarsii,127101
Lycodes vahlii,127118
Maurolicus muelleri,127312
Melanogrammus aeglefinus,126437
Merlangius merlangus,126438
Merluccius merluccius,126484
Microchirus,126129
Microchirus variegatus,274304
Micromesistius poutassou,126439
Microstomus kitt,127140
Molva molva,126461
Mullus surmuletus,126986
Mustelus mustelus,105822
Myoxocephalus scorpius,127203
Myxine glutinosa,101170
Osmerus eperlanus,126736
Pagellus erythrinus,127060
Pholis gunnellus,126996
Phrynorhombus norvegicus,127147
Phycis blennoides,126501
Platichthys flesus,127141
Pleuronectes platessa,127143
Pollachius pollachius,126440
Pollachius virens,126441
Pomatoschistus,125999
Pomatoschistus microps,126927
Pomatoschistus minutus,126928
Psetta maxima,127149
Raja clavata,105883
Raja montagui,105887
Rajidae,105711
Salmo trutta,223866
Scomber scombrus,127023
Scophthalmus rhombus,127150
Scorpaena scrofa,127248
Scyliorhinus canicula,105814
Sebastes viviparus,127255
Solea solea,127160
Spinachia spinachia,126508
Spondyliosoma cantharus,127066
Sprattus sprattus,126425
Squalus acanthias,105923
Syngnathidae,125606
Syngnathus,126227
Syngnathus acus,127387
Taurulus bubalis,127204
Trachinus draco,127082
Trachurus trachurus,126822
Triglidae,125598
Triglops murrayi,127205
Trisopterus esmarkii,126444
Trisopterus luscus,126445
Trisopterus minutus,126446
Zeugopterus,126125
Zeugopterus punctatus,127151
Zeus faber,127427
Zoarces viviparus,127123
